files,winner,T1_winners,T2_winners,T3_winners,T4_winners,T5_winners,T6_winners,T7_winners,T8_winners,T9_winners,T10_winners,T11_winners,T12_winners
aberdeenshire22/preferenceprofile_v0001_ward-14-huntly-strathbogie-and-howe-of-alford_06052022_172124.csv,C,E,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-15-aboyne-upper-deeside-and-donside_06052022_172124.csv,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-16-banchory-and-mid-deeside_06052022_172124.csv,B,F,F,B,B,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-17-north-kincardine_06052022_172124.csv,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-18-stonehaven-and-lower-deeside_06052022_172124.csv,D,D,A,D,D,D,D,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-19-mearns_06052022_172124.csv,I,I,I,C,I,I,I,I,I,I,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-2-troup_06052022_172123.csv,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-3-fraserburgh-and-district_06052022_172124.csv,E,A,E,E,E,E,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-4-central-buchan_06052022_172124.csv,H,H,H,H,H,H,H,H,H,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-5-peterhead-north-and-rattray_06052022_172118.csv,B,G,G,B,B,B,B,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-6-peterhead-south-and-cruden_06052022_172115.csv,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-7-turriff-and-district_06052022_172118.csv,E,E,E,E,E,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-8-mid-formartine_06052022_172123.csv,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-9-ellon-and-district_06052022_172124.csv,E,B,E,E,E,E,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/ward1.csv,F,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA
angus12-ballots/angus12-01.blt,B,D,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
angus12-ballots/angus12-02.blt,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA
angus12-ballots/angus12-03.blt,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
angus12-ballots/angus12-04.blt,C,A,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA
angus12-ballots/angus12-05.blt,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
angus12-ballots/angus12-06.blt,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA
angus12-ballots/angus12-07.blt,F,D,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA
angus12-ballots/angus12-08.blt,E,E,B,E,E,NA,NA,NA,NA,NA,NA,NA,NA
angus17-ballots/angus17-01.blt,E,E,E,E,E,NA,NA,NA,NA,NA,NA,NA,NA
angus17-ballots/angus17-02.blt,C,D,D,C,C,C,NA,NA,NA,NA,NA,NA,NA
angus17-ballots/angus17-03.blt,B,C,B,B,B,B,B,NA,NA,NA,NA,NA,NA
angus17-ballots/angus17-04.blt,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA
angus17-ballots/angus17-05.blt,B,D,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
angus17-ballots/angus17-06.blt,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
angus17-ballots/angus17-07.blt,E,F,A,E,E,E,E,NA,NA,NA,NA,NA,NA
angus17-ballots/angus17-08.blt,G,G,A,G,G,G,NA,NA,NA,NA,NA,NA,NA
angus22/ward1.txt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
angus22/ward2.txt,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
angus22/ward3.txt,G,B,B,B,B,G,G,NA,NA,NA,NA,NA,NA
angus22/ward4.txt,D,B,D,D,D,D,D,NA,NA,NA,NA,NA,NA
angus22/ward5.txt,B,F,F,B,B,B,NA,NA,NA,NA,NA,NA,NA
angus22/ward6.txt,B,F,B,B,B,B,B,B,B,NA,NA,NA,NA
angus22/ward7.txt,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA
angus22/ward8.txt,C,E,C,C,C,C,C,C,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-01.blt,E,E,E,E,E,E,NA,NA,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-02.blt,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-03.blt,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-04.blt,I,B,B,I,I,I,I,I,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-05.blt,I,I,I,I,I,I,I,I,I,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-06.blt,F,A,A,A,F,F,F,F,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-08.blt,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-09.blt,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-10.blt,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute12-11.blt,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
argyll-bute12-ballots/argyll-bute120510-07.blt,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-02.blt,A,B,B,A,A,NA,NA,NA,NA,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-03.blt,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-04.blt,F,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-05.blt,H,H,H,H,H,H,H,H,H,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-06.blt,E,A,E,E,E,NA,NA,NA,NA,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-07.blt,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-08.blt,E,E,E,E,E,E,NA,NA,NA,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-09.blt,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-10.blt,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA
argyll-bute17-ballots/argyll-bute17-11.blt,D,D,D,D,D,D,D,NA,NA,NA,NA,NA,NA
argyll22/ward1.csv,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
argyll22/ward10.csv,D,F,F,F,D,D,NA,NA,NA,NA,NA,NA,NA
argyll22/ward11.csv,E,E,E,E,NA,NA,NA,NA,NA,NA,NA,NA,NA
argyll22/ward2.csv,C,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA
